name,last,high,low,absolute_change,percent_change,vol
"Extra Space Storage","143.36","144.18","142.39",-0.11,-0.08,694810
"Camden Property","93.45","94.10","93.25",-0.5,-0.53,615980
"Mohawk Industries","110.06","111.80","101.83",0.46,0.42,1980000
"American Water Works","122.22","122.62","121.07",0.39,0.32,718930
"Alliant Energy","47.93","47.99","47.33",0.45,0.95,1460000
"Celanese","149.00","149.06","147.30",0.1,0.07,425180
"Bunge","88.45","88.66","86.81",1.95,2.25,2580000
"Ametek","168.49","168.60","166.41",2.19,1.32,800310
"WR Berkley","80.46","80.51","79.33",0.58,0.73,891180
"LyondellBasell Industries","95.42","95.42","94.37",0.44,0.46,1380000
"Royal Caribbean Cruises","116.99","121.00","115.58",-3.98,-3.29,4120000
"FleetCor","273.21","275.53","266.43",8.09,3.05,770350
"Packaging America","168.37","168.39","166.21",1.5,0.9,450830
"Arthur J Gallagher","238.81","239.18","236.29",1.78,0.75,440910
"Church&Dwight","98.82","100.08","98.16",-1.12,-1.12,989910
"Generac","126.97","128.39","125.16",-0.17,-0.13,884720
"Global Payments","136.00","137.09","134.91",-0.63,-0.46,1510000
"Realty Income","52.75","53.25","52.28",-0.41,-0.77,5830000
"AO Smith","80.55","80.80","79.98",0.3,0.37,537460
"Arch Capital","83.46","83.52","81.59",0.7,0.85,1090000
"Cboe Global","183.55","185.92","182.72",-0.61,-0.33,574360
"Copart","50.91","51.15","50.65",-0.05,-0.1,3010000
"Old Dominion Freight Line","435.33","437.88","428.67",0.17,0.04,784180
"Synopsys","575.30","582.85","571.92",4.61,0.81,967450
"Trimble","52.51","52.64","51.74",0.43,0.83,1510000
"Ulta Beauty","522.63","524.34","517.16",3.51,0.68,480210
"Verisk","250.61","251.47","248.18",1.35,0.54,691700
"AbbVie","174.04","175.40","173.06",-0.75,-0.43,3400000
"Diamondback","151.74","154.22","151.25",-1.74,-1.13,963550
"Norwegian Cruise Line","16.41","17.54","16.35",-1.09,-6.23,21310000
"Zoetis Inc","197.29","198.22","195.59",1.54,0.79,1860000
"IQVIA Holdings","218.26","222.21","216.18",1.26,0.58,1020000
"ServiceNow Inc","813.27","815.27","802.39",13.86,1.73,847820
"Palo Alto Networks","376.90","380.84","369.00",9.88,2.69,3430000
"CDW Corp","245.23","245.41","241.49",1.27,0.52,870860
"Hilton Worldwide","192.17","194.02","191.68",-2.38,-1.22,1530000
"American Airlines","14.88","15.18","14.71",-0.07,-0.47,26850000
"Allegion PLC","131.91","132.95","130.45",1.39,1.07,760630
"Alphabet C","150.22","150.70","147.43",3,2.04,21350000
"Paycom Soft","190.02","197.53","187.47",-5.73,-2.93,1770000
"Arista Networks","282.30","284.82","278.63",6.41,2.32,2950000
"Synchrony Financial","38.72","39.04","38.27",-0.16,-0.41,2810000
"Catalent Inc","56.73","56.95","56.10",0.18,0.32,3640000
"Citizens Financial Group Inc","31.51","31.69","30.89",0.14,0.45,3170000
"Keysight Technologies","161.53","162.50","161.04",0.35,0.22,639790
"Qorvo Inc","112.32","113.79","112.21",-0.3,-0.27,963360
"Etsy Inc","78.09","78.78","73.56",3.6,4.83,3170000
"WestRock Co","42.49","42.78","42.23",-0.33,-0.77,1680000
"PayPal","58.91","59.22","56.16",2.78,4.95,30500000
"Hewlett Packard","15.48","15.55","15.37",-0.01,-0.1,6130000
"Match Group","35.42","35.95","34.95",0.39,1.11,2910000
"Fortive","82.69","82.72","81.87",0.45,0.55,899160
"Lamb Weston Holdings","100.84","101.17","99.57",-0.04,-0.04,881030
"Invitation Homes","33.06","33.10","32.54",0.37,1.13,2410000
"VICI Properties","29.71","29.73","29.34",0.04,0.15,4090000
"Dayforce","70.69","70.71","68.39",0.71,1.01,1280000
"Moderna","87.41","93.36","86.41",-6.25,-6.67,7110000
"Uber Tech","70.89","72.04","69.69",-0.72,-1.01,20300000
"Fox Corp A","29.79","29.85","28.74",1.01,3.51,5670000
"Fox Corp B","27.45","27.58","26.61",0.83,3.12,1740000
"Corteva","53.59","53.91","52.88",0.35,0.66,2400000
"Amcor PLC","9.10","9.14","8.99",-0.07,-0.71,7140000
"Trane Technologies","275.46","275.49","269.20",5.52,2.04,910240
"Otis Worldwide","91.09","91.09","90.29",0.22,0.24,1700000
"Carrier Global","56.00","56.02","54.61",0.94,1.71,4660000
"Howmet","58.59","59.36","58.56",-0.58,-0.98,2390000
"Airbnb","147.60","148.68","145.18",-2.94,-1.96,4950000
"Constellation Energy","132.17","132.51","130.00",1.45,1.11,827840
"GE HealthCare","81.34","82.75","80.61",-0.72,-0.88,2700000
"Kenvue","19.32","19.61","19.08",-0.01,-0.03,24460000
"Veralto","82.17","83.55","81.99",-0.39,-0.47,1180000
"Linde PLC","419.42","419.83","412.29",5.42,1.31,1310000
